"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2003","Dan Plesac","Phillies","2","1","2","58","0","33.1","9.99","2.97","0.81",".292","78.8 %","29.1 %","7.7 %","2.70","3.06","3.60","0.7","1319"
"2005","Jason Isringhausen","Cardinals","1","2","39","63","0","59.0","7.78","4.12","0.61",".241","87.2 %","50.9 %","8.5 %","2.14","3.60","3.81","0.7","1158"
"2004","Aaron Sele","Angels","9","4","0","28","24","132.0","3.48","3.48","1.09",".313","68.7 %","42.9 %","8.0 %","5.05","5.12","5.69","0.7","34"
"2007","Matt Guerrier","Twins","2","4","1","73","0","88.0","6.95","2.15","0.92",".250","87.7 %","47.5 %","9.7 %","2.35","3.91","3.91","0.7","2061"
"2008","Joel Hanrahan","Nationals","6","3","9","69","0","84.1","9.92","4.48","0.96",".292","73.5 %","42.6 %","11.3 %","3.95","3.84","3.71","0.7","2186"
"2005","Clay Hensley","Padres","1","1","0","24","1","47.2","5.29","3.21","0.00",".229","76.0 %","55.2 %","0.0 %","1.70","2.92","3.99","0.7","4593"
"2002","Joaquin Benoit","Rangers","4","5","1","17","13","84.2","6.27","6.17","0.64",".307","70.7 %","37.0 %","5.2 %","5.31","4.72","5.68","0.7","1437"
"2009","Jon Rauch","- - -","7","3","2","75","0","70.0","6.30","2.96","0.77",".292","75.1 %","36.4 %","6.3 %","3.60","3.88","4.57","0.7","1475"
"2006","Kameron Loe","Rangers","3","6","0","15","15","78.1","3.91","2.53","1.15",".326","64.9 %","50.5 %","11.1 %","5.86","4.82","4.78","0.7","4422"
"2002","Oliver Perez","Padres","4","5","0","16","15","90.0","9.40","4.80","1.30",".256","82.2 %","34.5 %","12.7 %","3.50","4.52","4.21","0.7","1514"
"2009","John Maine","Mets","7","6","0","15","15","81.1","6.09","4.20","0.89",".242","68.5 %","35.1 %","7.5 %","4.43","4.57","5.02","0.7","4773"
"2009","Nelson Figueroa","Mets","3","8","0","16","10","70.1","7.55","3.07","1.02",".327","78.6 %","37.2 %","9.3 %","4.09","4.31","4.43","0.7","683"
"2004","Mike DeJean","- - -","0","5","0","54","0","61.0","8.85","4.87","0.30",".368","71.2 %","48.9 %","3.9 %","4.57","3.52","4.29","0.7","682"
"2009","Brandon League","Blue Jays","3","6","0","67","0","74.2","9.16","2.53","0.96",".318","67.6 %","55.7 %","15.1 %","4.58","3.58","3.12","0.7","3731"
"2007","Clay Buchholz","Red Sox","3","1","0","4","3","22.2","8.74","3.97","0.00",".255","76.0 %","38.5 %","0.0 %","1.59","2.75","3.70","0.7","3543"
"2009","Mark DiFelice","Brewers","4","1","0","59","0","51.2","8.36","2.61","1.05",".289","77.7 %","25.8 %","7.3 %","3.66","3.68","4.25","0.7","2468"
"2005","Kiko Calero","Athletics","4","1","1","58","0","55.2","8.41","2.91","0.97",".257","79.1 %","34.2 %","8.6 %","3.23","3.58","3.91","0.7","1676"
"2003","Kirk Rueter","Giants","10","5","0","27","27","147.0","2.51","2.88","0.86",".295","71.1 %","47.5 %","9.5 %","4.53","4.69","4.92","0.7","1128"
"2006","Tom Martin","Rockies","2","0","0","68","0","60.1","6.86","3.73","0.60",".310","63.2 %","49.2 %","7.5 %","5.07","3.93","4.30","0.7","1219"
"2000","Mike Morgan","Diamondbacks","5","5","5","60","4","101.2","4.96","3.54","0.89",".331","72.7 %"," "," ","4.87","4.52"," ","0.7","67"
"2000","Ramon Ortiz","Angels","8","6","0","18","18","111.1","5.90","4.45","1.46",".241","65.7 %"," "," ","5.09","5.46"," ","0.7","27"
"2002","Scott Erickson","Orioles","5","12","0","29","28","160.2","4.15","3.81","1.12",".313","66.3 %","58.0 %","15.3 %","5.55","5.08","4.59","0.7","137"
"2008","Russ Springer","Cardinals","2","1","0","70","0","50.1","8.05","3.22","0.72",".255","84.0 %","30.4 %","5.9 %","2.32","3.51","4.26","0.7","1652"
"2006","Arthur Rhodes","Phillies","0","5","4","55","0","45.2","9.46","5.91","0.39",".341","68.2 %","36.4 %","3.8 %","5.32","3.72","4.78","0.7","1097"
"2002","Carlos Silva","Phillies","5","0","1","68","0","84.0","4.39","2.36","0.43",".301","73.8 %","55.5 %","6.7 %","3.21","3.53","3.90","0.7","973"
"2003","Michael Tejera","Marlins","3","4","2","50","6","81.0","6.44","4.00","0.67",".302","67.8 %","44.8 %","7.1 %","4.67","3.93","4.48","0.7","542"
"2005","Gary Majewski","Nationals","4","4","1","79","0","86.0","5.23","3.87","0.21",".279","75.9 %","45.8 %","2.2 %","2.93","3.69","4.88","0.7","2131"
"2006","Kevin Gregg","Angels","3","4","0","32","3","78.1","8.16","2.41","1.15",".329","72.2 %","35.7 %","8.8 %","4.14","3.87","4.24","0.7","1793"
"2009","Ian Snell","- - -","7","10","0","27","27","145.0","5.52","5.15","0.87",".291","70.8 %","38.2 %","7.5 %","4.84","4.88","5.31","0.7","2227"
"2002","Tom Gordon","- - -","1","3","0","34","0","42.2","10.13","3.38","0.63",".345","73.0 %","36.3 %","6.7 %","3.38","2.82","3.37","0.7","282"
"2006","Mike MacDougal","- - -","1","1","1","29","0","29.0","6.52","1.86","0.31",".247","86.5 %","64.2 %","8.3 %","1.55","2.87","3.00","0.7","612"
"2004","Jose Lima","Dodgers","13","5","0","36","24","170.1","4.91","1.80","1.74",".268","79.1 %","44.3 %","16.3 %","4.07","5.09","4.26","0.7","475"
"2007","Jensen Lewis","Indians","1","1","0","26","0","29.1","10.43","3.07","0.31",".316","81.5 %","32.5 %","2.7 %","2.15","2.49","3.63","0.7","3384"
"2002","Rob Bell","Rangers","4","3","0","17","15","94.0","6.70","3.35","1.53",".320","63.2 %","39.5 %","14.8 %","6.22","4.83","4.21","0.7","1492"
"2006","Joe Borowski","Marlins","3","3","36","72","0","69.2","8.27","4.26","0.90",".283","76.0 %","32.5 %","7.1 %","3.75","4.12","4.82","0.7","267"
"2008","Sean Green","Mariners","4","5","1","72","0","79.0","7.06","4.10","0.34",".307","63.7 %","63.3 %","6.1 %","4.67","3.65","3.97","0.7","3001"
"2003","Tim Spooneybarger","Marlins","1","2","0","33","0","42.0","6.86","2.36","0.21",".228","47.9 %","68.2 %","4.5 %","4.07","2.67","3.13","0.7","1484"
"2004","Kiko Calero","Cardinals","3","1","2","41","0","45.1","9.33","1.99","0.99",".210","77.4 %","43.9 %","11.6 %","2.78","3.14","3.05","0.7","1676"
"2009","David Robertson","Yankees","2","1","1","45","0","43.2","12.98","4.74","0.82",".320","75.4 %","35.6 %","9.3 %","3.30","3.05","3.15","0.7","8241"
"2007","Michael Wuertz","Cubs","2","3","0","73","0","72.1","9.83","4.35","1.00",".295","78.6 %","44.0 %","10.3 %","3.48","3.94","3.86","0.7","1856"
"2005","Kyle Davies","Braves","7","6","0","21","14","87.2","6.37","5.03","0.82",".318","70.9 %","34.0 %","6.9 %","4.93","4.50","5.14","0.7","3642"
"2003","Ryan Dempster","Reds","3","7","0","22","20","115.2","6.54","5.45","1.09",".323","63.4 %","43.1 %","11.2 %","6.54","5.10","5.10","0.7","517"
"2004","Matt Ginter","Mets","1","3","0","15","14","69.1","4.93","2.60","1.04",".306","68.9 %","43.1 %","8.4 %","4.54","4.53","4.98","0.7","233"
"2001","Mike Timlin","Cardinals","4","5","3","67","0","72.2","5.82","2.35","0.74",".310","71.0 %"," "," ","4.09","3.74"," ","0.7","1187"
"2000","Danny Patterson","Tigers","5","1","0","58","0","56.2","4.61","2.22","0.64",".333","74.3 %"," "," ","3.97","3.88"," ","0.7","485"
"2005","Ron Villone","- - -","5","5","1","79","0","64.0","9.84","4.92","0.56",".310","69.6 %","43.5 %","6.9 %","4.08","3.61","4.05","0.7","1010"
"2007","Justin Hampson","Padres","2","3","0","39","0","53.1","5.74","2.70","0.17",".285","76.2 %","46.8 %","1.7 %","2.70","3.28","4.44","0.7","2209"
"2006","Jamey Wright","Giants","6","10","0","34","21","156.0","4.56","3.69","0.92",".298","66.8 %","58.1 %","13.2 %","5.19","4.89","4.65","0.7","715"
"2006","Chuck James","Braves","11","4","0","25","18","119.0","6.88","3.55","1.51",".238","79.4 %","27.7 %","10.9 %","3.78","5.14","5.13","0.7","4886"
"2000","Kip Wells","White Sox","6","9","0","20","20","98.2","6.48","5.29","1.37",".345","66.7 %"," "," ","6.02","5.50"," ","0.7","1012"
"2008","Doug Brocail","Astros","7","5","2","72","0","68.2","8.39","2.75","1.05",".289","75.2 %","41.0 %","9.9 %","3.93","3.83","3.87","0.7","551"
"2001","Vladimir Nunez","Marlins","4","5","0","52","3","92.0","6.26","2.93","0.88",".257","79.9 %"," "," ","2.74","4.07"," ","0.7","532"
"2004","T.J. Tucker","Expos","4","2","0","54","1","67.2","5.85","2.26","0.67",".308","75.9 %","47.7 %","6.6 %","3.72","3.64","4.28","0.7","800"
"2007","Todd Jones","Tigers","1","4","38","63","0","61.1","4.84","3.38","0.44",".296","70.1 %","45.9 %","4.5 %","4.26","3.92","4.66","0.7","436"
"2006","Tom Gordon","Phillies","3","4","34","59","0","59.1","10.31","3.34","1.37",".288","83.6 %","45.3 %","18.0 %","3.34","3.99","3.20","0.7","282"
"2004","Scott Schoeneweis","White Sox","6","9","0","20","19","112.2","5.51","3.91","1.36",".309","68.1 %","44.2 %","12.7 %","5.59","5.17","4.90","0.7","33"
"2003","Claudio Vargas","Expos","6","8","0","23","20","114.0","4.89","3.24","1.26",".260","73.2 %","32.4 %","9.6 %","4.34","5.03","5.33","0.7","1695"
"2002","Brian Meadows","Pirates","1","6","0","11","11","62.2","4.45","2.01","1.01",".267","71.4 %","39.3 %","9.5 %","3.88","4.14","4.33","0.7","998"
"2004","Travis Harper","Devil Rays","6","2","0","52","0","78.2","6.75","2.63","0.92",".262","70.6 %","42.6 %","9.6 %","3.89","4.02","4.19","0.7","1211"
"2003","Cliff Lee","Indians","3","3","0","9","9","52.1","7.57","3.44","1.20",".248","65.8 %","36.4 %","11.5 %","3.61","4.35","4.31","0.7","1636"
"2004","Jimmy Gobble","Royals","9","8","0","25","24","148.0","2.98","2.61","1.46",".256","64.3 %","37.2 %","10.3 %","5.35","5.43","5.57","0.7","1791"
"2004","Steve Reed","Rockies","3","8","0","65","0","66.0","5.18","2.32","0.95",".301","77.7 %","41.9 %","8.0 %","3.68","4.37","4.86","0.7","1053"
"2001","Kenny Rogers","Rangers","5","7","0","20","20","120.2","5.52","3.65","1.34",".328","65.5 %"," "," ","6.19","5.18"," ","0.7","1277"
"2003","Travis Harper","Devil Rays","4","8","1","61","0","93.0","6.19","3.00","0.87",".277","70.7 %","50.0 %","11.5 %","3.77","4.11","4.07","0.7","1211"
"2008","Brandon Lyon","Diamondbacks","3","5","26","61","0","59.1","6.67","1.97","1.06",".338","69.1 %","39.8 %","9.0 %","4.70","3.84","4.04","0.7","1312"
"2002","Steve Kline","Cardinals","2","1","6","66","0","58.1","6.33","3.24","0.46",".291","73.8 %","43.1 %","6.3 %","3.39","3.36","3.83","0.7","1164"
"2005","Chad Qualls","Astros","6","4","0","77","0","79.2","6.78","2.60","0.79",".283","74.8 %","58.3 %","14.6 %","3.28","3.75","3.44","0.7","2170"
"2003","Dan Haren","Cardinals","3","7","0","14","14","72.2","5.33","2.72","1.11",".311","68.1 %","40.7 %","10.1 %","5.08","4.57","4.75","0.7","1757"
"2005","Tim Stauffer","Padres","3","6","0","15","14","81.0","5.44","3.22","1.11",".309","67.0 %","41.3 %","10.2 %","5.33","4.56","4.63","0.7","6432"
"2005","Heath Bell","Mets","1","3","0","42","0","46.2","8.29","2.51","0.58",".363","60.8 %","44.8 %","6.7 %","5.59","2.91","3.41","0.7","2080"
"2002","Willis Roberts","Orioles","5","4","1","66","0","75.0","6.12","3.84","0.60",".306","75.0 %","50.0 %","6.3 %","3.36","3.91","4.50","0.7","167"
"2007","Matt Wise","Brewers","3","2","1","56","0","53.2","7.21","2.85","0.84",".329","68.1 %","34.9 %","6.0 %","4.19","3.85","4.61","0.7","42"
"2001","Osvaldo Fernandez","Reds","5","6","0","20","14","79.1","3.97","3.74","0.91",".328","59.3 %"," "," ","6.92","4.73"," ","0.7","1004000"
"2009","Tim Hudson","Braves","2","1","0","7","7","42.1","6.38","2.76","0.85",".338","79.8 %","62.2 %","14.8 %","3.61","3.83","3.44","0.7","921"
"2007","Josh Towers","Blue Jays","5","10","0","25","15","107.0","6.39","1.85","1.51",".320","63.7 %","43.9 %","14.1 %","5.38","4.79","4.10","0.7","1489"
"2009","Mitchell Boggs","Cardinals","2","3","0","16","9","58.0","7.14","5.12","0.47",".374","77.1 %","52.7 %","5.7 %","4.19","4.10","4.62","0.7","3344"
"2006","Chris Britton","Orioles","0","2","1","52","0","53.2","6.88","2.85","0.67",".264","71.4 %","31.1 %","4.9 %","3.35","3.54","4.69","0.7","3600"
"2001","Mike Matthews","Cardinals","3","4","1","51","10","89.0","7.28","3.34","1.11",".254","82.6 %"," "," ","3.24","4.29"," ","0.7","1170"
"2001","Rick White","Mets","4","5","2","55","0","69.2","6.59","2.20","0.90",".288","64.8 %"," "," ","3.88","3.71"," ","0.7","456"
"2002","Jose Mesa","Phillies","4","6","45","74","0","75.2","7.61","4.64","0.59",".274","81.2 %","41.0 %","6.3 %","2.97","3.83","4.44","0.7","961"
"2009","Tom Gorzelanny","- - -","7","3","0","22","7","47.0","9.00","3.26","1.15",".293","60.4 %","40.7 %","11.8 %","5.55","3.91","3.67","0.7","6244"
"2002","Tim Redding","Astros","3","6","0","18","14","73.1","7.73","4.30","1.23",".313","64.7 %","40.8 %","12.0 %","5.40","4.45","4.24","0.7","573"
"2001","Vicente Padilla","Phillies","3","1","0","23","0","34.0","7.68","3.18","0.26",".343","64.4 %"," "," ","4.24","2.78"," ","0.7","964"
"2001","Victor Zambrano","Devil Rays","6","2","2","36","0","51.1","10.17","3.16","1.05",".252","75.1 %"," "," ","3.16","3.54"," ","0.7","1237"
"2009","Anibal Sanchez","Marlins","4","8","0","16","16","86.0","7.43","4.81","1.05",".290","78.6 %","41.9 %","10.2 %","3.87","4.60","4.58","0.7","3284"
"2006","Scott Baker","Twins","5","8","0","16","16","83.1","6.70","1.73","1.84",".348","64.1 %","33.8 %","12.5 %","6.37","4.99","4.64","0.7","6176"
"2000","Cliff Politte","Phillies","4","3","0","12","8","59.0","7.63","4.12","1.22",".283","81.9 %"," "," ","3.66","4.57"," ","0.7","967"
"2004","Mike Adams","Brewers","2","3","0","46","0","53.0","6.62","2.38","0.85",".273","76.3 %","40.0 %","7.5 %","3.40","3.71","4.28","0.7","1937"
"2000","Jerry Spradlin","- - -","4","5","7","58","1","90.0","6.70","3.20","1.10",".326","60.0 %"," "," ","6.00","4.43"," ","0.7","1012353"
"2005","Andy Sisco","Royals","2","5","0","67","0","75.1","9.08","5.02","0.72",".305","82.1 %","41.3 %","7.8 %","3.11","3.79","4.16","0.7","3706"
"2002","Michael Tejera","Marlins","8","8","1","47","18","139.2","6.12","3.87","1.10",".293","74.7 %","40.6 %","10.1 %","4.45","4.60","4.68","0.7","542"
"2003","Doug Davis","- - -","7","8","0","21","20","109.1","5.10","4.20","1.32",".296","78.6 %","39.8 %","11.9 %","4.03","5.23","5.11","0.7","1244"
"2005","David Weathers","Reds","7","4","15","73","0","77.2","7.07","3.36","0.81",".276","71.6 %","50.2 %","10.6 %","3.94","3.82","3.82","0.7","902"
"2006","Rick Bauer","Rangers","3","1","2","58","1","71.0","4.44","3.17","0.51",".295","73.7 %","52.8 %","5.7 %","3.55","4.12","4.77","0.7","125"
"2009","Octavio Dotel","White Sox","3","3","0","62","0","62.1","10.83","5.20","1.01",".313","79.8 %","29.6 %","9.0 %","3.32","3.88","4.07","0.7","555"
"2008","Juan Oviedo","Royals","4","1","0","45","0","48.1","4.84","2.79","0.37",".272","73.5 %","39.1 %","3.0 %","2.98","3.77","5.06","0.7","2886"
"2009","Daniel Bard","Red Sox","2","2","1","49","0","49.1","11.49","4.01","0.91",".303","71.2 %","45.0 %","11.6 %","3.65","3.38","3.21","0.7","7115"
"2009","Andrew Miller","Marlins","3","5","0","20","14","80.0","6.64","4.84","0.79",".306","64.9 %","48.0 %","9.3 %","4.84","4.45","4.54","0.7","6785"
"2000","Jeff Zimmerman","Rangers","4","5","1","65","0","69.2","9.56","4.39","1.29",".345","69.6 %"," "," ","5.30","4.43"," ","0.7","1014446"
"2002","Gary Glover","White Sox","7","8","1","41","22","138.1","4.55","3.38","1.37",".253","65.8 %","38.2 %","10.3 %","5.20","5.20","5.26","0.7","234"
"2006","Elmer Dessens","- - -","5","8","2","62","0","77.0","6.08","2.57","0.94",".311","67.5 %","45.3 %","10.0 %","4.56","4.04","4.15","0.7","317"
"2000","Paxton Crawford","Red Sox","2","1","0","7","4","29.0","5.28","4.03","0.00",".275","62.5 %"," "," ","3.41","3.51"," ","0.7","1002747"
"2000","Rick White","- - -","5","9","3","66","0","99.2","6.05","3.43","0.81",".247","72.8 %"," "," ","3.52","4.32"," ","0.7","456"
"2009","Jose Mijares","Twins","2","2","0","71","0","61.2","8.03","3.36","1.02",".259","89.0 %","37.6 %","8.1 %","2.34","4.01","4.36","0.7","4140"
"2007","C.J. Wilson","Rangers","2","1","12","66","0","68.1","8.30","4.35","0.53",".257","76.7 %","49.2 %","8.2 %","3.03","3.87","4.01","0.7","3580"
"2007","Sean Green","Mariners","5","2","0","64","0","68.0","7.01","4.50","0.26",".354","74.6 %","60.9 %","5.1 %","3.84","3.70","4.03","0.7","3001"
"2004","John Patterson","Expos","4","7","0","19","19","98.1","9.06","4.21","1.65",".299","74.5 %","31.8 %","13.8 %","5.03","5.06","4.56","0.7","71"
"2006","Chad Billingsley","Dodgers","7","4","0","18","16","90.0","5.90","5.80","0.70",".308","76.8 %","48.2 %","7.0 %","3.80","4.88","5.43","0.7","5842"
"2009","Ronald Belisario","Dodgers","4","3","0","69","0","70.2","8.15","3.69","0.51",".245","81.1 %","56.0 %","7.5 %","2.04","3.51","3.76","0.7","2203"
"2001","Giovanni Carrara","Dodgers","6","1","0","47","3","85.1","7.38","2.53","1.27",".253","83.7 %"," "," ","3.16","4.12"," ","0.7","643"
"2006","Brandon Medders","Diamondbacks","5","3","0","60","0","71.2","5.90","3.52","0.63",".303","69.7 %","41.9 %","5.6 %","3.64","4.00","4.84","0.7","8604"
"2006","Will Ohman","Cubs","1","1","0","78","0","65.1","10.19","4.68","0.83",".269","73.5 %","33.5 %","7.9 %","4.13","3.87","4.31","0.7","296"
"2004","Mike Remlinger","Cubs","1","2","2","48","0","36.2","8.59","3.93","0.74",".297","74.2 %","35.3 %","6.4 %","3.44","3.59","4.35","0.7","111"
"2006","Taylor Buchholz","Astros","6","10","0","22","19","113.0","6.13","2.71","1.67",".250","55.9 %","43.7 %","15.3 %","5.89","5.18","4.47","0.7","2168"
"2000","Tanyon Sturtze","- - -","5","2","0","29","6","68.1","5.80","3.82","1.05",".296","70.0 %"," "," ","4.74","4.77"," ","0.7","1230"
"2009","Matt Albers","Orioles","3","6","0","56","0","67.0","6.58","4.84","0.40",".352","65.9 %","48.4 %","4.5 %","5.51","3.92","4.65","0.7","4300"
"2007","Troy Percival","Cardinals","3","0","0","34","1","40.0","8.10","2.25","0.68",".208","87.3 %","33.0 %","5.3 %","1.80","3.16","3.98","0.7","29"
"2005","Matt Cain","Giants","2","1","0","7","7","46.1","5.83","3.69","0.78",".156","82.9 %","29.5 %","5.9 %","2.33","4.08","4.98","0.7","4732"
"2004","Terry Mulholland","Twins","5","9","0","39","15","123.1","4.38","2.41","1.24",".336","70.5 %","48.6 %","12.2 %","5.18","4.79","4.60","0.7","665"
"2005","Randy Wolf","Phillies","6","4","0","13","13","80.0","6.86","2.93","1.58",".305","79.5 %","35.2 %","13.6 %","4.39","4.97","4.47","0.7","976"
"2003","Brandon Lyon","Red Sox","4","6","9","49","0","59.0","7.63","2.90","0.92",".342","71.3 %","39.2 %","8.8 %","4.12","3.73","4.09","0.6","1312"
"2002","Bob Wickman","Indians","1","3","20","36","0","34.1","9.44","2.62","0.79",".358","63.5 %","47.3 %","11.5 %","4.46","2.96","2.87","0.6","413"
"2006","Jeremy Accardo","- - -","2","4","3","65","0","69.0","7.04","2.61","0.91",".321","63.1 %","42.3 %","9.9 %","5.35","3.81","3.94","0.6","6428"
"2009","Scott Richmond","Blue Jays","8","11","0","27","24","138.2","7.59","3.83","1.75",".295","69.0 %","33.6 %","14.3 %","5.52","5.22","4.48","0.6","4307"
"2005","Ugueth Urbina","- - -","5","6","10","81","0","79.2","10.96","4.41","1.36",".243","78.3 %","26.0 %","11.3 %","3.62","4.05","3.93","0.6","216"
"2006","Brandon Lyon","Diamondbacks","2","4","0","68","0","69.1","5.97","2.86","0.91",".280","72.3 %","42.9 %","9.7 %","3.89","4.08","4.23","0.6","1312"
"2002","Antonio Alfonseca","Cubs","2","5","19","66","0","74.1","7.39","4.36","0.61",".302","74.3 %","54.7 %","8.8 %","4.00","3.77","3.96","0.6","260"
"2003","Joe Kennedy","Devil Rays","3","12","1","32","22","133.2","5.18","3.16","1.28",".318","62.5 %","42.1 %","10.8 %","6.13","5.03","5.10","0.6","1217"
"2004","Brandon Claussen","Reds","2","8","0","14","14","66.0","6.14","4.77","1.23",".320","64.2 %","36.9 %","9.4 %","6.14","5.14","5.43","0.6","814"
"2008","Scot Shields","Angels","6","4","4","64","0","63.1","9.09","4.12","0.85",".296","73.8 %","53.8 %","11.3 %","2.70","3.81","3.68","0.6","35"
"2009","Matt Palmer","Angels","11","2","0","40","13","121.1","5.12","4.08","0.89",".255","74.1 %","50.5 %","9.6 %","3.93","4.70","4.77","0.6","4457"
"2000","Ugueth Urbina","Expos","0","1","8","13","0","13.1","14.85","3.38","0.68",".385","68.5 %"," "," ","4.05","1.93"," ","0.6","216"
"2008","Jason Motte","Cardinals","0","0","1","12","0","11.0","13.09","2.45","0.00",".238","75.0 %","45.0 %","0.0 %","0.82","1.04","2.12","0.6","5861"
"2007","Jason Isringhausen","Cardinals","4","0","32","63","0","65.1","7.44","3.86","0.55",".212","76.8 %","44.5 %","5.9 %","2.48","3.76","4.27","0.6","1158"
"2002","Jim Mecir","Athletics","6","4","1","61","0","67.2","7.05","3.86","0.67",".296","69.2 %","49.5 %","7.1 %","4.26","3.82","4.29","0.6","930"
"2000","Alan Embree","Giants","3","5","2","63","0","60.0","7.35","3.75","0.60",".319","66.4 %"," "," ","4.95","3.77"," ","0.6","1030"
"2002","Dave Mlicki","Astros","4","10","0","22","16","86.0","5.97","3.56","1.15",".315","66.1 %","39.4 %","10.7 %","5.34","4.59","4.59","0.6","569"
"2003","Jose Acevedo","Reds","2","0","0","5","4","27.0","7.67","2.00","1.00",".200","80.8 %","37.1 %","9.4 %","2.67","3.55","3.83","0.6","307"
"2008","Brian Tallet","Blue Jays","1","2","0","51","0","56.1","7.51","3.51","0.64",".289","80.7 %","42.5 %","6.7 %","2.88","3.61","4.09","0.6","1646"
"2008","Kevin Gregg","Marlins","7","8","29","72","0","68.2","7.60","4.85","0.39",".247","70.6 %","44.8 %","4.4 %","3.41","3.80","4.54","0.6","1793"
"2002","Jason Simontacchi","Cardinals","11","5","0","24","24","143.1","4.52","3.39","1.13",".258","74.6 %","41.6 %","10.7 %","4.02","4.85","4.85","0.6","1181"
"2004","Kent Mercker","Cubs","3","1","0","71","0","53.0","8.66","4.58","0.68",".254","85.2 %","35.5 %","7.0 %","2.55","3.80","4.35","0.6","439"
"2007","Ryan Franklin","Cardinals","4","4","1","69","0","80.0","4.95","1.24","0.90",".247","76.9 %","48.4 %","9.3 %","3.04","3.96","4.01","0.6","1076"
"2007","Vicente Padilla","Rangers","6","10","0","23","23","120.1","5.31","3.74","1.20",".319","64.1 %","45.7 %","11.3 %","5.76","5.26","5.00","0.6","964"
"2005","Macay McBride","Braves","1","0","1","23","0","14.0","14.14","4.50","0.00",".462","56.0 %","45.9 %","0.0 %","5.79","1.38","2.26","0.6","3475"
"2003","Jim Brower","Giants","8","5","2","51","5","100.0","5.85","3.51","0.72",".275","69.0 %","53.8 %","11.1 %","3.96","3.97","3.98","0.6","313"
"2006","Matt Garza","Twins","3","6","0","10","9","50.0","6.84","4.14","1.08",".339","67.9 %","35.1 %","8.7 %","5.76","4.57","4.95","0.6","3340"
"2000","Antonio Osuna","Dodgers","3","6","0","46","0","67.1","9.36","4.68","0.94",".279","76.0 %"," "," ","3.74","4.05"," ","0.6","249"
"2001","Hector Carrasco","Twins","4","3","1","56","0","73.2","8.55","3.67","0.98",".330","69.9 %"," "," ","4.64","3.78"," ","0.6","1240"
"2002","Josh Fogg","Pirates","12","12","0","33","33","194.1","5.23","3.20","1.30",".279","73.5 %","46.6 %","13.2 %","4.35","4.86","4.50","0.6","989"
"2008","Jeff Bennett","Braves","3","7","3","72","4","97.1","6.29","4.35","0.46",".277","72.2 %","63.9 %","8.2 %","3.70","4.07","4.23","0.6","1903"
"2000","John Wasdin","- - -","1","6","1","39","4","80.1","7.95","2.69","1.57",".319","71.4 %"," "," ","5.38","4.72"," ","0.6","1768"
"2000","Kazuhiro Sasaki","Mariners","2","5","37","63","0","62.2","11.20","4.45","1.44",".222","82.0 %"," "," ","3.16","4.30"," ","0.6","1098"
"2004","Brian Fuentes","Rockies","2","4","0","47","0","44.2","9.67","3.83","1.01",".328","62.9 %","32.5 %","9.3 %","5.64","3.90","4.16","0.6","429"
"2008","Bill Bray","Reds","2","2","0","63","0","47.0","10.34","4.60","0.77",".348","80.7 %","35.1 %","8.2 %","2.87","3.54","3.80","0.6","8538"
"2003","Darren Holmes","Braves","1","2","0","48","0","42.0","9.86","2.36","1.07",".356","70.6 %","35.0 %","10.2 %","4.29","3.17","3.33","0.6","95"
"2000","Mark Buehrle","White Sox","4","1","0","28","3","51.1","6.49","3.33","0.88",".311","71.4 %"," "," ","4.21","4.24"," ","0.6","225"
"2008","Joe Beimel","Dodgers","5","1","0","71","0","49.0","5.88","3.86","0.00",".316","85.1 %","47.4 %","0.0 %","2.02","3.30","4.72","0.6","979"
"2007","Zach Duke","Pirates","3","8","0","20","19","107.1","3.44","2.10","1.17",".368","67.9 %","50.6 %","11.9 %","5.53","4.95","4.64","0.6","3840"
"2008","Zach Miner","Tigers","8","5","0","45","13","118.0","4.73","3.51","0.76",".281","70.5 %","45.5 %","7.4 %","4.27","4.50","4.91","0.6","3193"
"2005","Akinori Otsuka","Padres","2","8","1","66","0","62.2","8.62","4.88","0.43",".294","72.6 %","47.4 %","6.5 %","3.59","3.45","3.84","0.6","1895"
"2006","Rich Harden","Athletics","4","0","0","9","9","46.2","9.45","5.01","0.96",".236","70.6 %","43.5 %","13.5 %","4.24","4.18","3.90","0.6","1772"
"2008","Eddie Guardado","- - -","4","4","4","65","0","56.1","5.27","3.04","0.64",".269","67.8 %","25.0 %","4.4 %","4.15","3.90","5.10","0.6","727"
"2007","Tony Pena","Diamondbacks","5","4","2","75","0","85.1","6.64","3.27","0.84",".232","71.8 %","48.1 %","8.2 %","3.27","4.25","4.45","0.6","4573"
"2001","Ruben Quevedo","Brewers","4","5","0","10","10","56.2","9.53","4.76","1.43",".305","76.3 %"," "," ","4.61","4.58"," ","0.6","705"
"2004","Antonio Osuna","Padres","2","1","0","31","0","36.2","8.84","2.70","0.74",".290","82.9 %","37.3 %","7.0 %","2.45","3.13","3.73","0.6","249"
"2002","Mark Guthrie","Mets","5","3","1","68","0","48.0","8.25","3.56","0.56",".260","82.7 %","56.0 %","8.3 %","2.44","3.19","3.42","0.6","876"
"2008","Jeremy Affeldt","Reds","1","1","0","74","0","78.1","9.19","2.87","1.03",".317","75.0 %","54.4 %","15.0 %","3.33","3.66","3.17","0.6","583"
