"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2003","Kevin Gregg","Angels","2","0","0","5","3","24.2","5.11","2.92","1.09",".211","79.0 %","32.4 %","9.4 %","3.28","4.57","4.88","0.4","1793"
"2001","Sun-Woo Kim","Red Sox","0","2","0","20","2","41.2","5.83","4.54","0.22",".358","67.0 %"," "," ","5.83","3.87"," ","0.4","197"
"2008","Chan Ho Park","Dodgers","4","4","2","54","5","95.1","7.46","3.40","1.13",".302","78.2 %","50.9 %","14.0 %","3.40","4.37","3.92","0.4","1267"
"2001","Jose Cabrera","Braves","7","4","2","55","0","59.1","6.52","3.79","0.76",".264","76.4 %"," "," ","2.88","4.06"," ","0.4","679"
"2001","Ed Vosberg","Phillies","0","0","0","18","0","12.2","7.82","2.13","0.00",".250","63.6 %"," "," ","2.84","2.02"," ","0.4","1426"
"2003","Rafael Betancourt","Indians","2","2","1","33","0","38.0","8.53","3.08","1.18",".222","88.2 %","22.5 %","8.5 %","2.13","3.95","4.51","0.4","177"
"2008","Horacio Ramirez","- - -","1","4","0","32","0","37.1","3.13","2.17","0.24",".308","65.9 %","53.2 %","2.9 %","4.34","3.67","4.56","0.4","110"
"2002","Bronson Arroyo","Pirates","2","1","0","9","4","26.2","7.42","5.06","0.34",".341","71.1 %","40.0 %","3.4 %","4.05","3.49","4.51","0.4","978"
"2004","Todd Van Poppel","Reds","4","6","0","48","11","115.1","5.62","2.50","1.72",".306","64.9 %","35.2 %","12.8 %","6.09","5.19","4.83","0.4","1284"
"2001","Carl Pavano","Expos","1","6","0","8","8","42.2","7.59","3.38","1.48",".377","65.5 %"," "," ","6.33","4.76"," ","0.4","790"
"2000","Bobby Chouinard","Rockies","2","2","0","31","0","32.2","6.34","2.48","1.10",".301","71.1 %"," "," ","3.86","4.24"," ","0.4","1002204"
"2002","Mike Jackson","Twins","2","3","0","58","0","55.0","4.75","2.13","0.82",".298","81.2 %","40.9 %","6.8 %","3.27","4.02","4.67","0.4","732"
"2008","Ramon Ramirez","Reds","1","1","0","5","4","27.0","7.00","3.67","1.00",".203","84.7 %","42.9 %","11.1 %","2.67","4.35","4.23","0.4","2899"
"2004","Kyle Farnsworth","Cubs","4","5","0","72","0","66.2","10.53","4.46","1.35",".326","71.6 %","39.7 %","13.9 %","4.73","4.23","3.82","0.4","278"
"2006","Kip Wells","- - -","2","5","0","9","9","44.1","4.06","4.26","0.61",".363","64.8 %","50.9 %","6.4 %","6.50","4.82","5.43","0.4","1012"
"2005","Matt Guerrier","Twins","0","3","0","43","0","71.2","5.78","3.01","0.75",".286","77.0 %","46.9 %","7.8 %","3.39","3.95","4.35","0.4","2061"
"2001","John Wasdin","- - -","3","2","0","44","0","74.0","7.78","2.92","1.34",".333","71.6 %"," "," ","5.11","4.47"," ","0.4","1768"
"2004","Cliff Politte","White Sox","0","3","1","54","0","51.1","8.42","3.86","1.05",".313","74.0 %","40.1 %","10.3 %","4.38","4.10","4.19","0.4","967"
"2009","Daniel Herrera","Reds","4","4","0","70","0","61.2","6.42","3.50","0.73",".310","72.0 %","50.0 %","9.1 %","3.06","3.99","4.11","0.4","4552"
"2007","Kenny Rogers","Tigers","3","4","0","11","11","63.0","5.14","3.57","1.14",".278","68.9 %","47.9 %","12.9 %","4.43","4.99","4.57","0.4","1277"
"2008","Chris Carpenter","Cardinals","0","1","0","4","3","15.1","4.11","2.35","0.00",".308","75.0 %","51.0 %","0.0 %","1.76","3.00","4.03","0.4","1292"
"2001","Aaron Myette","Rangers","4","5","0","19","15","80.2","7.48","4.13","1.34",".329","61.5 %"," "," ","7.14","5.11"," ","0.4","1263"
"2002","Rafael Soriano","Mariners","0","3","1","10","8","47.1","6.08","3.04","1.52",".253","72.3 %","28.0 %","11.0 %","4.56","4.82","4.76","0.4","1100"
"2002","John Stephens","Orioles","2","5","0","12","11","65.0","7.75","3.05","1.80",".294","65.5 %","34.2 %","16.5 %","6.09","4.99","4.08","0.4","1569"
"2004","Tanyon Sturtze","Yankees","6","2","1","28","3","77.1","6.52","3.84","1.05",".283","64.1 %","40.3 %","8.9 %","5.47","4.63","4.97","0.4","1230"
"2006","Jeff Weaver","- - -","8","14","0","31","31","172.0","5.60","2.46","1.78",".313","68.8 %","39.0 %","14.9 %","5.76","5.47","4.76","0.4","503"
"2006","Adam Bernero","- - -","1","1","0","4","3","15.0","7.20","1.20","1.80",".373","70.7 %","32.1 %","13.0 %","6.00","4.55","4.10","0.4","460"
